time,open,high,low,close,volume
2024-06-03,58.86,59.73,58.86,59.0,10555635
2024-06-04,59.47,59.67,59.06,59.33,5455326
2024-06-05,59.33,59.87,59.26,59.4,3772452
2024-06-06,59.47,60.0,59.4,59.53,6811460
2024-06-07,59.6,60.0,59.2,59.2,2262202
2024-06-10,59.47,59.67,58.8,58.86,2643949
2024-06-11,59.06,59.13,58.26,58.33,2256534
2024-06-12,58.46,59.67,58.19,59.33,4502980
2024-06-13,59.47,59.6,59.13,59.13,1603414
2024-06-14,59.2,59.6,58.53,58.53,2484887
2024-06-17,58.6,58.73,58.26,58.26,9181124
2024-06-19,58.39,58.53,57.86,57.93,2176749
2024-06-21,57.59,57.99,57.19,57.53,1809985
2024-06-24,57.53,58.46,57.19,57.19,2153682
2024-06-25,57.32,57.99,57.19,57.19,4703337
2024-07-01,57.39,57.66,56.99,57.59,1180816
2024-07-02,57.99,59.4,57.66,59.0,4856674
2024-07-03,58.86,59.33,58.73,59.2,2252635
2024-07-04,59.26,60.0,58.86,58.86,9188157
2024-07-08,58.86,59.33,58.33,58.33,4582248
2024-07-10,59.06,59.67,58.86,59.26,6901832
2024-07-11,59.26,59.47,58.93,58.93,2893682
2024-07-12,59.0,59.26,58.6,58.6,4123911
2024-07-15,58.6,59.06,58.53,58.53,1174084
2024-07-16,58.6,59.26,58.6,58.8,3070892
2024-07-17,59.4,60.2,58.53,58.86,10095723
2024-07-22,58.53,59.06,58.39,58.66,2926232
2024-07-23,58.73,59.06,58.53,58.53,1412799
2024-07-24,58.46,58.93,58.46,58.53,1477891
2024-07-25,58.6,58.66,58.33,58.39,1764668
2024-07-26,58.39,58.66,58.33,58.39,2713281
2024-07-29,58.6,58.73,58.39,58.39,454233
2024-07-30,58.39,59.06,58.39,58.53,978889
2024-07-31,58.53,59.67,58.53,59.67,3731282
2024-08-01,59.73,61.14,59.67,60.67,43269345
2024-08-02,60.47,60.47,59.33,59.33,1512887
2024-08-05,59.2,59.2,58.13,58.13,21441588
2024-08-09,58.46,59.06,58.46,58.66,3413613
2024-08-13,58.6,59.87,58.6,59.87,3187894
2024-08-15,58.86,59.4,58.6,58.6,2766105
2024-08-16,58.86,59.47,58.86,58.93,1371799
2024-08-19,59.4,59.73,59.06,59.4,3313182
2024-08-20,59.47,60.74,59.47,60.74,20323608
2024-08-21,60.74,62.21,60.47,62.07,22013000
2024-08-22,62.14,62.34,61.61,61.81,7083080
2024-08-23,61.87,62.07,60.54,61.81,2156170
2024-08-26,61.61,61.94,61.27,61.54,7846120
2024-08-27,61.54,61.61,60.8,61.2,2708280
2024-08-28,61.34,61.47,60.94,60.94,1032939
2024-08-29,60.87,61.81,60.87,61.2,1497431
2024-08-30,61.2,61.74,61.2,61.34,5013159
2024-09-04,60.94,60.94,60.4,60.87,1014236
2024-09-05,60.6,60.94,60.27,60.27,3556533
2024-09-06,60.33,60.74,60.07,60.33,1571708
2024-09-09,60.27,60.33,59.67,60.33,703748
2024-09-10,60.27,60.33,59.53,59.53,2387162
2024-09-11,59.26,59.53,58.86,59.13,2058108
2024-09-12,59.2,60.27,59.13,59.87,6441576
2024-09-13,60.07,60.33,59.6,60.13,4877322
2024-09-16,59.93,60.2,59.4,59.47,1457852
2024-09-17,59.53,60.54,59.26,60.54,971859
2024-09-18,60.6,61.47,60.0,60.87,6889548
2024-09-19,60.87,61.34,60.8,61.2,2693808
2024-09-23,61.07,61.27,60.8,60.8,2093685
2024-09-24,60.8,61.2,60.8,61.0,523790
2024-09-25,61.2,62.21,61.0,62.07,5209016
2024-09-26,62.14,62.74,61.87,61.87,5460162
2024-09-27,61.87,62.61,61.87,61.87,1073168
2024-09-30,61.87,61.87,61.54,61.54,1278350
2024-10-02,61.74,62.01,61.41,62.01,5522484
2024-10-03,61.94,62.81,61.81,61.94,5102352
2024-10-04,61.87,62.07,61.74,61.74,1720990
2024-10-07,61.74,61.87,61.41,61.54,611894
2024-10-09,61.07,61.41,60.8,60.87,6530595
2024-10-10,61.74,62.21,61.0,61.47,7959414
2024-10-14,61.67,61.67,61.07,61.14,931995
2024-10-16,61.14,61.41,61.07,61.2,2587042
2024-10-17,61.54,61.74,61.34,61.67,1286287
2024-10-18,62.01,62.27,61.54,61.81,2328112
2024-10-21,61.87,62.41,61.54,61.54,1425147
2024-10-23,61.0,61.41,61.0,61.2,750353
2024-10-24,61.67,61.74,61.14,61.34,756579
2024-10-25,61.61,61.74,61.34,61.41,1995456
2024-10-28,61.2,61.74,61.2,61.54,1106555
2024-10-29,61.61,61.94,61.54,61.54,2597286
2024-10-30,61.54,61.81,61.27,61.34,627682
2024-10-31,61.2,63.55,61.2,62.61,5784902
2024-11-04,62.88,63.75,61.81,61.87,7425580
2024-11-05,61.94,62.21,61.54,61.94,3252549
2024-11-06,62.07,62.48,62.07,62.14,2835982
2024-11-07,62.34,62.81,62.34,62.34,2840602
2024-11-08,62.54,62.81,61.67,61.67,2762498
2024-11-11,62.07,62.07,61.47,61.54,3748736
2024-11-12,61.54,62.34,61.47,61.47,1337197
2024-11-13,61.47,62.14,61.47,61.87,7996266
2024-11-14,61.54,61.87,61.47,61.54,1720202
2024-11-15,61.54,61.87,61.27,61.34,1509691
2024-11-18,61.34,61.74,60.8,60.87,3752700
2024-11-19,61.2,61.27,60.2,60.2,7889480
2024-11-20,60.2,61.0,60.13,60.4,1641687
2024-11-21,60.47,61.07,60.33,60.54,5846432
2024-11-22,60.87,61.07,60.6,60.6,5192442
2024-11-25,60.8,61.67,60.8,61.07,9074815
2024-11-26,61.14,62.14,61.14,61.81,10564962
2024-11-27,61.74,62.34,61.74,62.01,3144927
2024-11-28,62.27,62.54,61.87,61.94,2581896
2024-11-29,61.94,62.41,61.87,62.41,4045264
2024-12-02,63.48,63.61,62.81,63.01,4725996
2024-12-03,63.14,63.14,61.94,62.21,14684700
2024-12-04,62.07,62.81,61.87,62.54,3616446
2024-12-05,62.21,63.28,62.21,62.88,7003368
2024-12-06,62.88,63.75,62.81,63.01,3404366
2024-12-09,63.01,63.75,62.81,63.75,3917676
2024-12-10,63.75,63.75,63.21,63.21,3657928
2024-12-12,62.54,63.14,62.54,62.54,1344698
2024-12-13,62.34,62.61,62.14,62.27,3685398
2024-12-17,62.21,62.27,62.07,62.21,6295446
2024-12-19,62.07,62.07,61.67,61.81,5611797
2024-12-23,61.94,62.07,61.81,61.81,1415934
2024-12-24,62.01,62.07,61.54,61.61,3076068
2024-12-26,61.87,62.07,61.54,61.61,13223304
2024-12-27,61.87,62.21,61.67,61.67,8204505
2024-12-30,61.67,61.87,61.54,61.54,6831140
2024-12-31,61.67,61.81,61.0,61.0,7125867
2025-01-02,61.27,61.87,61.2,61.47,4894104
2025-01-03,61.47,61.81,61.47,61.54,7015200
